Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue colour),Custom field (Rank),Custom field (Start date),Custom field (Team),Comment,Status Category,Status Category Changed
Day 6 [SME Daily Business] Deepana - Running v2 Training + Self-Testing v2,KAN-35,10043,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Deepana Nirmal,712020:98bb3280-4325-469c-bbdb-9c6c1507f962,Deepana Nirmal,712020:98bb3280-4325-469c-bbdb-9c6c1507f962,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,24/Aug/26 12:00 AM,0,"SME-Daily-Business,Day6","Industry: SME Daily Business | Models: Qwen-SME + Llama-SME | Run Qwen and Llama training scripts using train_v2.json. Save models as v2. Run full evaluation (BLEU/ROUGE), manually test 30 questions, document v1-to-v2 improvements and remaining weaknesses.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i0007j:,,,,To Do,16/Aug/26 1:54 AM
Day 6 [Retail + E-commerce + Manufacturing] Rimaz - Running v2 Training + Self-Testing v2,KAN-36,10044,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Rimaz Nowfel,712020:9c0313b2-01b9-49e5-a659-e00a816a1dab,Rimaz Nowfel,712020:9c0313b2-01b9-49e5-a659-e00a816a1dab,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,24/Aug/26 12:00 AM,0,"Retail-Ecommerce-Manufacturing,Day6","Industry: Retail + E-commerce + Manufacturing | Models: Qwen-RetailEcomManufacturing + Llama-RetailEcomManufacturing | Run Qwen and Llama training scripts using train_v2.json. Save models as v2. Run full evaluation (BLEU/ROUGE), manually test 30 questions, document v1-to-v2 improvements and remaining weaknesses.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i0007r:,,,,To Do,16/Aug/26 1:54 AM
Day 7 [Healthcare] Kusal - Preparing v3 Data (RAG-Aware Dataset),KAN-37,10045,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Kusal Pabasara,712020:d4fe8ac9-ec10-465a-85f2-c10497da25da,Kusal Pabasara,712020:d4fe8ac9-ec10-465a-85f2-c10497da25da,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,25/Aug/26 12:00 AM,0,"Healthcare,Day7",Industry: Healthcare | Models: Qwen-Healthcare + Llama-Healthcare | Merge synthetic data with original data to create train_v3.json. Add a 'context' field to each example for RAG-awareness. Update configs to point to train_v3.json.,,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i0007z:,,,,To Do,16/Aug/26 1:54 AM
Day 7 [Finance] Navodya - Preparing v3 Data (RAG-Aware Dataset),KAN-38,10046,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,navodya dissanayake,712020:3217b8d1-4da9-43e3-a79a-2ee0fab71124,navodya dissanayake,712020:3217b8d1-4da9-43e3-a79a-2ee0fab71124,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,25/Aug/26 12:00 AM,0,"Finance,Day7",Industry: Finance | Models: Qwen-Finance + Llama-Finance | Merge synthetic data with original data to create train_v3.json. Add a 'context' field to each example for RAG-awareness. Update configs to point to train_v3.json.,,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i00087:,,,,To Do,16/Aug/26 1:54 AM
Day 7 [SME Daily Business] Deepana - Preparing v3 Data (RAG-Aware Dataset),KAN-39,10047,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Deepana Nirmal,712020:98bb3280-4325-469c-bbdb-9c6c1507f962,Deepana Nirmal,712020:98bb3280-4325-469c-bbdb-9c6c1507f962,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,25/Aug/26 12:00 AM,0,"SME-Daily-Business,Day7",Industry: SME Daily Business | Models: Qwen-SME + Llama-SME | Merge synthetic data with original data to create train_v3.json. Add a 'context' field to each example for RAG-awareness. Update configs to point to train_v3.json.,,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i0008f:,,,,To Do,16/Aug/26 1:54 AM
Day 7 [Retail + E-commerce + Manufacturing] Rimaz - Preparing v3 Data (RAG-Aware Dataset),KAN-40,10048,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Rimaz Nowfel,712020:9c0313b2-01b9-49e5-a659-e00a816a1dab,Rimaz Nowfel,712020:9c0313b2-01b9-49e5-a659-e00a816a1dab,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,25/Aug/26 12:00 AM,0,"Retail-Ecommerce-Manufacturing,Day7",Industry: Retail + E-commerce + Manufacturing | Models: Qwen-RetailEcomManufacturing + Llama-RetailEcomManufacturing | Merge synthetic data with original data to create train_v3.json. Add a 'context' field to each example for RAG-awareness. Update configs to point to train_v3.json.,,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i0008n:,,,,To Do,16/Aug/26 1:54 AM
Day 8 [Healthcare] Kusal - Running v3 Training + Self-Testing v3,KAN-41,10049,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Kusal Pabasara,712020:d4fe8ac9-ec10-465a-85f2-c10497da25da,Kusal Pabasara,712020:d4fe8ac9-ec10-465a-85f2-c10497da25da,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,26/Aug/26 12:00 AM,0,"Healthcare,Day8","Industry: Healthcare | Models: Qwen-Healthcare + Llama-Healthcare | Run Qwen and Llama training scripts using train_v3.json. Save models as v3. Test on test dataset, manually test 30 questions, compare v3 against v2 and document improvements/weaknesses.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i0008v:,,,,To Do,16/Aug/26 1:54 AM
Day 8 [Finance] Navodya - Running v3 Training + Self-Testing v3,KAN-42,10050,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,navodya dissanayake,712020:3217b8d1-4da9-43e3-a79a-2ee0fab71124,navodya dissanayake,712020:3217b8d1-4da9-43e3-a79a-2ee0fab71124,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,26/Aug/26 12:00 AM,0,"Finance,Day8","Industry: Finance | Models: Qwen-Finance + Llama-Finance | Run Qwen and Llama training scripts using train_v3.json. Save models as v3. Test on test dataset, manually test 30 questions, compare v3 against v2 and document improvements/weaknesses.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i00093:,,,,To Do,16/Aug/26 1:54 AM
Day 8 [SME Daily Business] Deepana - Running v3 Training + Self-Testing v3,KAN-43,10051,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Deepana Nirmal,712020:98bb3280-4325-469c-bbdb-9c6c1507f962,Deepana Nirmal,712020:98bb3280-4325-469c-bbdb-9c6c1507f962,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,26/Aug/26 12:00 AM,0,"SME-Daily-Business,Day8","Industry: SME Daily Business | Models: Qwen-SME + Llama-SME | Run Qwen and Llama training scripts using train_v3.json. Save models as v3. Test on test dataset, manually test 30 questions, compare v3 against v2 and document improvements/weaknesses.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i0009b:,,,,To Do,16/Aug/26 1:54 AM
Day 8 [Retail + E-commerce + Manufacturing] Rimaz - Running v3 Training + Self-Testing v3,KAN-44,10052,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Rimaz Nowfel,712020:9c0313b2-01b9-49e5-a659-e00a816a1dab,Rimaz Nowfel,712020:9c0313b2-01b9-49e5-a659-e00a816a1dab,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,26/Aug/26 12:00 AM,0,"Retail-Ecommerce-Manufacturing,Day8","Industry: Retail + E-commerce + Manufacturing | Models: Qwen-RetailEcomManufacturing + Llama-RetailEcomManufacturing | Run Qwen and Llama training scripts using train_v3.json. Save models as v3. Test on test dataset, manually test 30 questions, compare v3 against v2 and document improvements/weaknesses.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i0009j:,,,,To Do,16/Aug/26 1:54 AM
Day 8 [Retail + E-commerce + Manufacturing] Thisal (Support) - Running v3 Training + Self-Testing v3,KAN-45,10053,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Thisal Sooriyanayaka,712020:41aba837-2ff7-4d28-bb41-91b248eeb978,Thisal Sooriyanayaka,712020:41aba837-2ff7-4d28-bb41-91b248eeb978,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,26/Aug/26 12:00 AM,0,"Retail-Ecommerce-Manufacturing,Day8,Support","Support role assisting Rimaz on the combined Retail + E-commerce + Manufacturing track (3 merged domains = extra data/testing volume). Models: Qwen-RetailEcomManufacturing + Llama-RetailEcomManufacturing | Run Qwen and Llama training scripts using train_v3.json. Save models as v3. Test on test dataset, manually test 30 questions, compare v3 against v2 and document improvements/weaknesses.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i0009r:,,,,To Do,16/Aug/26 1:54 AM
Day 9 [Healthcare] Kusal - RAG Integration + Testing,KAN-46,10054,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Kusal Pabasara,712020:d4fe8ac9-ec10-465a-85f2-c10497da25da,Kusal Pabasara,712020:d4fe8ac9-ec10-465a-85f2-c10497da25da,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,27/Aug/26 12:00 AM,0,"Healthcare,Day9","Industry: Healthcare | Models: Qwen-Healthcare + Llama-Healthcare | Set up ChromaDB vector database, index domain documents as embeddings. Test full RAG pipeline: retrieve documents -> context -> fine-tuned model -> answer. Evaluate RAG performance on 200 test queries.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i0009z:,,,,To Do,16/Aug/26 1:54 AM
Day 9 [Finance] Navodya - RAG Integration + Testing,KAN-47,10055,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,navodya dissanayake,712020:3217b8d1-4da9-43e3-a79a-2ee0fab71124,navodya dissanayake,712020:3217b8d1-4da9-43e3-a79a-2ee0fab71124,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,27/Aug/26 12:00 AM,0,"Finance,Day9","Industry: Finance | Models: Qwen-Finance + Llama-Finance | Set up ChromaDB vector database, index domain documents as embeddings. Test full RAG pipeline: retrieve documents -> context -> fine-tuned model -> answer. Evaluate RAG performance on 200 test queries.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i000a7:,,,,To Do,16/Aug/26 1:54 AM
Day 9 [SME Daily Business] Deepana - RAG Integration + Testing,KAN-48,10056,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Deepana Nirmal,712020:98bb3280-4325-469c-bbdb-9c6c1507f962,Deepana Nirmal,712020:98bb3280-4325-469c-bbdb-9c6c1507f962,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,27/Aug/26 12:00 AM,0,"SME-Daily-Business,Day9","Industry: SME Daily Business | Models: Qwen-SME + Llama-SME | Set up ChromaDB vector database, index domain documents as embeddings. Test full RAG pipeline: retrieve documents -> context -> fine-tuned model -> answer. Evaluate RAG performance on 200 test queries.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i000af:,,,,To Do,16/Aug/26 1:54 AM
Day 9 [Retail + E-commerce + Manufacturing] Rimaz - RAG Integration + Testing,KAN-49,10057,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Rimaz Nowfel,712020:9c0313b2-01b9-49e5-a659-e00a816a1dab,Rimaz Nowfel,712020:9c0313b2-01b9-49e5-a659-e00a816a1dab,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,27/Aug/26 12:00 AM,0,"Retail-Ecommerce-Manufacturing,Day9","Industry: Retail + E-commerce + Manufacturing | Models: Qwen-RetailEcomManufacturing + Llama-RetailEcomManufacturing | Set up ChromaDB vector database, index domain documents as embeddings. Test full RAG pipeline: retrieve documents -> context -> fine-tuned model -> answer. Evaluate RAG performance on 200 test queries.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i000an:,,,,To Do,16/Aug/26 1:54 AM
Day 9 [Retail + E-commerce + Manufacturing] Thisal (Support) - RAG Integration + Testing,KAN-50,10058,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Thisal Sooriyanayaka,712020:41aba837-2ff7-4d28-bb41-91b248eeb978,Thisal Sooriyanayaka,712020:41aba837-2ff7-4d28-bb41-91b248eeb978,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,27/Aug/26 12:00 AM,0,"Retail-Ecommerce-Manufacturing,Day9,Support","Support role assisting Rimaz on the combined Retail + E-commerce + Manufacturing track (3 merged domains = extra data/testing volume). Models: Qwen-RetailEcomManufacturing + Llama-RetailEcomManufacturing | Set up ChromaDB vector database, index domain documents as embeddings. Test full RAG pipeline: retrieve documents -> context -> fine-tuned model -> answer. Evaluate RAG performance on 200 test queries.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i000av:,,,,To Do,16/Aug/26 1:54 AM
Day 10 [Healthcare] Kusal - Running v4 Training + Testing (RAG-Aware),KAN-51,10059,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Kusal Pabasara,712020:d4fe8ac9-ec10-465a-85f2-c10497da25da,Kusal Pabasara,712020:d4fe8ac9-ec10-465a-85f2-c10497da25da,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,28/Aug/26 12:00 AM,0,"Healthcare,Day10",Industry: Healthcare | Models: Qwen-Healthcare + Llama-Healthcare | Run Qwen and Llama training scripts using train_v4.json (RAG-aware data). Save models as v4. Test both models with RAG on 100 test queries and document results.,,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i000b3:,,,,To Do,16/Aug/26 1:54 AM
Day 10 [Finance] Navodya - Running v4 Training + Testing (RAG-Aware),KAN-52,10060,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,navodya dissanayake,712020:3217b8d1-4da9-43e3-a79a-2ee0fab71124,navodya dissanayake,712020:3217b8d1-4da9-43e3-a79a-2ee0fab71124,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,28/Aug/26 12:00 AM,0,"Finance,Day10",Industry: Finance | Models: Qwen-Finance + Llama-Finance | Run Qwen and Llama training scripts using train_v4.json (RAG-aware data). Save models as v4. Test both models with RAG on 100 test queries and document results.,,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i000bb:,,,,To Do,16/Aug/26 1:54 AM
Day 10 [SME Daily Business] Deepana - Running v4 Training + Testing (RAG-Aware),KAN-53,10061,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Deepana Nirmal,712020:98bb3280-4325-469c-bbdb-9c6c1507f962,Deepana Nirmal,712020:98bb3280-4325-469c-bbdb-9c6c1507f962,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,28/Aug/26 12:00 AM,0,"SME-Daily-Business,Day10",Industry: SME Daily Business | Models: Qwen-SME + Llama-SME | Run Qwen and Llama training scripts using train_v4.json (RAG-aware data). Save models as v4. Test both models with RAG on 100 test queries and document results.,,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i000bj:,,,,To Do,16/Aug/26 1:54 AM
Day 10 [Retail + E-commerce + Manufacturing] Rimaz - Running v4 Training + Testing (RAG-Aware),KAN-54,10062,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Rimaz Nowfel,712020:9c0313b2-01b9-49e5-a659-e00a816a1dab,Rimaz Nowfel,712020:9c0313b2-01b9-49e5-a659-e00a816a1dab,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,28/Aug/26 12:00 AM,0,"Retail-Ecommerce-Manufacturing,Day10",Industry: Retail + E-commerce + Manufacturing | Models: Qwen-RetailEcomManufacturing + Llama-RetailEcomManufacturing | Run Qwen and Llama training scripts using train_v4.json (RAG-aware data). Save models as v4. Test both models with RAG on 100 test queries and document results.,,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i000br:,,,,To Do,16/Aug/26 1:54 AM
Day 11 [Healthcare] Kusal - Final Validation Across All Versions,KAN-55,10063,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Kusal Pabasara,712020:d4fe8ac9-ec10-465a-85f2-c10497da25da,Kusal Pabasara,712020:d4fe8ac9-ec10-465a-85f2-c10497da25da,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,31/Aug/26 12:00 AM,0,"Healthcare,Day11",Industry: Healthcare | Models: Qwen-Healthcare + Llama-Healthcare | Load entire model collection (v1-v4 for Qwen and Llama). Run full evaluation on all versions. Create a comparison chart showing improvements across versions.,,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i000bz:,,,,To Do,16/Aug/26 1:54 AM
Day 11 [Finance] Navodya - Final Validation Across All Versions,KAN-56,10064,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,navodya dissanayake,712020:3217b8d1-4da9-43e3-a79a-2ee0fab71124,navodya dissanayake,712020:3217b8d1-4da9-43e3-a79a-2ee0fab71124,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,31/Aug/26 12:00 AM,0,"Finance,Day11",Industry: Finance | Models: Qwen-Finance + Llama-Finance | Load entire model collection (v1-v4 for Qwen and Llama). Run full evaluation on all versions. Create a comparison chart showing improvements across versions.,,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i000c7:,,,,To Do,16/Aug/26 1:54 AM
Day 11 [SME Daily Business] Deepana - Final Validation Across All Versions,KAN-57,10065,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Deepana Nirmal,712020:98bb3280-4325-469c-bbdb-9c6c1507f962,Deepana Nirmal,712020:98bb3280-4325-469c-bbdb-9c6c1507f962,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,31/Aug/26 12:00 AM,0,"SME-Daily-Business,Day11",Industry: SME Daily Business | Models: Qwen-SME + Llama-SME | Load entire model collection (v1-v4 for Qwen and Llama). Run full evaluation on all versions. Create a comparison chart showing improvements across versions.,,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i000cf:,,,,To Do,16/Aug/26 1:54 AM
Day 11 [Retail + E-commerce + Manufacturing] Rimaz - Final Validation Across All Versions,KAN-58,10066,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Rimaz Nowfel,712020:9c0313b2-01b9-49e5-a659-e00a816a1dab,Rimaz Nowfel,712020:9c0313b2-01b9-49e5-a659-e00a816a1dab,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,31/Aug/26 12:00 AM,0,"Retail-Ecommerce-Manufacturing,Day11",Industry: Retail + E-commerce + Manufacturing | Models: Qwen-RetailEcomManufacturing + Llama-RetailEcomManufacturing | Load entire model collection (v1-v4 for Qwen and Llama). Run full evaluation on all versions. Create a comparison chart showing improvements across versions.,,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i000cn:,,,,To Do,16/Aug/26 1:54 AM
Day 12 [Healthcare] Kusal - Final Save + Master Report,KAN-59,10067,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Kusal Pabasara,712020:d4fe8ac9-ec10-465a-85f2-c10497da25da,Kusal Pabasara,712020:d4fe8ac9-ec10-465a-85f2-c10497da25da,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,01/Sep/26 12:00 AM,0,"Healthcare,Day12","Industry: Healthcare | Models: Qwen-Healthcare + Llama-Healthcare | Perform final validation: run 100 test questions and manually check answers. Create a master report with Qwen vs Llama comparison scores, recommendations, training times, dataset sizes, and final metrics. Upload all final v4 models to shared Drive with a master registry file.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i000cv:,,,,To Do,16/Aug/26 1:54 AM
Day 12 [Finance] Navodya - Final Save + Master Report,KAN-60,10068,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,navodya dissanayake,712020:3217b8d1-4da9-43e3-a79a-2ee0fab71124,navodya dissanayake,712020:3217b8d1-4da9-43e3-a79a-2ee0fab71124,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,01/Sep/26 12:00 AM,0,"Finance,Day12","Industry: Finance | Models: Qwen-Finance + Llama-Finance | Perform final validation: run 100 test questions and manually check answers. Create a master report with Qwen vs Llama comparison scores, recommendations, training times, dataset sizes, and final metrics. Upload all final v4 models to shared Drive with a master registry file.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i000d3:,,,,To Do,16/Aug/26 1:54 AM
Day 12 [SME Daily Business] Deepana - Final Save + Master Report,KAN-61,10069,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Deepana Nirmal,712020:98bb3280-4325-469c-bbdb-9c6c1507f962,Deepana Nirmal,712020:98bb3280-4325-469c-bbdb-9c6c1507f962,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,01/Sep/26 12:00 AM,0,"SME-Daily-Business,Day12","Industry: SME Daily Business | Models: Qwen-SME + Llama-SME | Perform final validation: run 100 test questions and manually check answers. Create a master report with Qwen vs Llama comparison scores, recommendations, training times, dataset sizes, and final metrics. Upload all final v4 models to shared Drive with a master registry file.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i000db:,,,,To Do,16/Aug/26 1:54 AM
